workerId,opName,nanoTime,numTuples,destWorkerId
1,Shuffle(S),217091953,10000,1
1,Shuffle(S),275884527,158,6
1,Shuffle(S),297995998,161,5
1,Shuffle(S),331334074,144,7
1,Shuffle(S),364678336,157,8
1,Shuffle(S),397949755,194,2
1,Shuffle(S),431360387,8865,1
1,Shuffle(S),464707592,177,3
1,Shuffle(S),481281676,144,4
1,Shuffle(S),513204967,307,6
1,Shuffle(S),531538117,280,5
1,Shuffle(S),564835758,293,7
1,Shuffle(S),598166688,313,8
1,Shuffle(S),631392174,354,2
1,Shuffle(S),664746424,7801,1
1,Shuffle(S),698103921,313,3
1,Shuffle(S),731477350,339,4
1,Shuffle(S),776265780,384,6
1,Shuffle(S),798217807,1017,5
1,Shuffle(S),839887573,296,7
1,Shuffle(S),881582072,268,8
1,Shuffle(S),923272268,270,2
1,Shuffle(S),956776055,7111,1
1,Shuffle(S),998488132,357,3
1,Shuffle(S),1048596965,297,4
1,Shuffle(S),1091928962,143,6
1,Shuffle(S),1115605261,2471,5
1,Shuffle(S),1149177967,163,7
1,Shuffle(S),1182483017,168,8
1,Shuffle(S),1215776209,150,2
1,Shuffle(S),1249145430,6604,1
1,Shuffle(S),1299163810,161,3
1,Shuffle(S),1332485138,140,4
1,Shuffle(S),1376283692,592,6
1,Shuffle(S),1399219585,2085,5
1,Shuffle(S),1432583889,687,7
1,Shuffle(S),1465892501,535,8
1,Shuffle(S),1507624983,783,2
1,Shuffle(S),1541056477,4061,1
1,Shuffle(S),1574615452,654,3
1,Shuffle(S),1607674609,603,4
1,Shuffle(S),1651654075,159,6
1,Shuffle(S),1674225103,3220,5
1,Shuffle(S),1707743794,147,7
1,Shuffle(S),1741057759,118,8
1,Shuffle(S),1774289627,165,2
1,Shuffle(S),1807677400,5847,1
1,Shuffle(S),1841089391,202,3
1,Shuffle(S),1874371428,142,4
1,Shuffle(S),1917496019,388,6
1,Shuffle(S),1949448307,1902,5
1,Shuffle(S),1982651618,443,7
1,Shuffle(S),2016040364,455,8
1,Shuffle(S),2085065789,438,2
1,Shuffle(S),2120823942,5564,1
1,Shuffle(S),2156315493,426,3
1,Shuffle(S),2190939891,384,4
1,Shuffle(S),2233269451,299,6
1,Shuffle(S),2257651835,4168,5
1,Shuffle(S),2290899370,296,7
1,Shuffle(S),2324188814,293,8
1,Shuffle(S),2374158783,329,2
1,Shuffle(S),2407517699,4005,1
1,Shuffle(S),2440930410,283,3
1,Shuffle(S),2474251876,327,4
1,Shuffle(S),2522932211,167,6
1,Shuffle(S),2541021039,5773,5
1,Shuffle(S),2574324658,188,7
1,Shuffle(S),2613063956,152,8
1,Shuffle(S),2651958561,143,2
1,Shuffle(S),2690270758,3121,1
1,Shuffle(S),2729085496,297,3
1,Shuffle(S),2767496213,159,4
1,Shuffle(S),2815306575,476,6
1,Shuffle(S),2853504221,3798,5
1,Shuffle(S),2891003970,474,7
1,Shuffle(S),2929741830,506,8
1,Shuffle(S),2967738670,439,2
1,Shuffle(S),3015885179,3272,1
1,Shuffle(S),3072204305,578,3
1,Shuffle(S),3108536355,457,4
1,Shuffle(S),3154599775,1297,6
1,Shuffle(S),3181992677,3869,5
1,Shuffle(S),3220172387,537,7
1,Shuffle(S),3259712156,527,8
1,Shuffle(S),3322871435,521,2
1,Shuffle(S),3356161933,2060,1
1,Shuffle(S),3394747196,695,3
1,Shuffle(S),3428055680,494,4
1,Shuffle(S),3472448255,316,6
1,Shuffle(S),3499511903,2412,5
1,Shuffle(S),3538066967,407,7
1,Shuffle(S),3575904265,322,8
1,Shuffle(S),3614705822,265,2
1,Shuffle(S),3648101574,325,1
1,Shuffle(S),3695033572,619,3
1,Shuffle(S),3728372847,334,4
3,Shuffle(S),241380149,10000,1
3,Shuffle(S),319625292,155,6
3,Shuffle(S),339626417,177,5
3,Shuffle(S),373012716,141,7
3,Shuffle(S),406376170,164,8
3,Shuffle(S),439647996,171,2
3,Shuffle(S),472989389,8884,1
3,Shuffle(S),506218593,182,3
3,Shuffle(S),522958393,126,4
3,Shuffle(S),571810638,271,6
3,Shuffle(S),589663033,277,5
3,Shuffle(S),622898667,293,7
3,Shuffle(S),656197369,320,8
3,Shuffle(S),689657594,340,2
3,Shuffle(S),722962592,7844,1
3,Shuffle(S),756359426,335,3
3,Shuffle(S),789609650,320,4
3,Shuffle(S),844218424,379,6
3,Shuffle(S),873104058,1044,5
3,Shuffle(S),914832675,288,7
3,Shuffle(S),948307518,270,8
3,Shuffle(S),990026263,281,2
3,Shuffle(S),1040138615,7114,1
3,Shuffle(S),1073617790,343,3
3,Shuffle(S),1107105182,281,4
3,Shuffle(S),1152415039,138,6
3,Shuffle(S),1173945671,2450,5
3,Shuffle(S),1207380484,168,7
3,Shuffle(S),1240619501,160,8
3,Shuffle(S),1290668653,171,2
3,Shuffle(S),1323961589,6603,1
3,Shuffle(S),1357444653,168,3
3,Shuffle(S),1390769558,142,4
3,Shuffle(S),1436228345,592,6
3,Shuffle(S),1457415895,2079,5
3,Shuffle(S),1490908599,615,7
3,Shuffle(S),1524135753,541,8
3,Shuffle(S),1557413555,811,2
3,Shuffle(S),1590741382,4107,1
3,Shuffle(S),1624200385,647,3
3,Shuffle(S),1657535587,608,4
3,Shuffle(S),1702427714,174,6
3,Shuffle(S),1724078138,3217,5
3,Shuffle(S),1757479204,133,7
3,Shuffle(S),1790828859,118,8
3,Shuffle(S),1824247084,172,2
3,Shuffle(S),1857504728,5858,1
3,Shuffle(S),1890777363,187,3
3,Shuffle(S),1933608205,141,4
3,Shuffle(S),1959886970,439,6
3,Shuffle(S),1982576819,1893,5
3,Shuffle(S),2015885064,415,7
3,Shuffle(S),2067579609,453,8
3,Shuffle(S),2102351967,416,2
3,Shuffle(S),2138811002,5589,1
3,Shuffle(S),2173893460,422,3
3,Shuffle(S),2207433663,373,4
3,Shuffle(S),2242112066,310,6
3,Shuffle(S),2265632870,4147,5
3,Shuffle(S),2298917655,338,7
3,Shuffle(S),2332289304,278,8
3,Shuffle(S),2365580936,308,2
3,Shuffle(S),2398928783,4034,1
3,Shuffle(S),2432329971,292,3
3,Shuffle(S),2465686179,293,4
3,Shuffle(S),2513831507,164,6
3,Shuffle(S),2549056672,5760,5
3,Shuffle(S),2596234787,199,7
3,Shuffle(S),2630181365,143,8
3,Shuffle(S),2669181049,167,2
3,Shuffle(S),2707446368,3109,1
3,Shuffle(S),2745950985,304,3
