workerId,nanoTime,numTuples,destWorkerId
7,279066397,1271,6
7,306668312,1242,5
7,323329236,1218,7
7,356634466,1264,8
7,389997676,1249,2
7,423287732,1220,1
7,456680987,1242,3
7,490230379,1294,4
7,530382352,1260,6
7,556726739,1285,5
7,589991016,1256,7
7,623398979,1222,8
7,656604412,1228,2
7,689962456,1228,1
7,723329078,1261,3
7,756758476,1260,4
7,800927440,1255,6
7,823360150,1220,5
7,856602903,1247,7
7,890063620,1255,8
7,923372774,1235,2
7,956776790,1262,1
7,990128104,1237,3
7,1023658744,1289,4
7,1084183248,1238,6
7,1107390083,1281,5
7,1140747145,1269,7
7,1174129470,1221,8
7,1207435256,1266,2
7,1240779304,1239,1
7,1274113333,1243,3
7,1307463255,1243,4
7,1351275684,1256,6
7,1374246392,1180,5
7,1407466666,1292,7
7,1440824779,1259,8
7,1474164589,1260,2
7,1507491789,1200,1
7,1540933705,1271,3
7,1574215084,1282,4
7,1618886970,1219,6
7,1640893494,1247,5
7,1674254906,1325,7
7,1708134599,1200,8
7,1740964834,1245,2
7,1774261603,1320,1
7,1808133045,1213,3
7,1840957588,1231,4
7,1885086912,1224,6
7,1907584973,1300,5
7,1940943375,1186,7
7,1974313505,1223,8
7,2008119759,1273,2
7,2043463622,1282,1
7,2095553801,1222,3
7,2130564994,1290,4
7,2175158478,1231,6
7,2198022264,1272,5
7,2231852914,1200,7
7,2265098474,1304,8
7,2298461481,1286,2
7,2331850190,1240,1
7,2365192879,1245,3
7,2398536230,1222,4
7,2442325423,1214,6
7,2465200482,1297,5
7,2498589795,1221,7
7,2531931445,1195,8
7,2590682792,1239,2
7,2629240413,1243,1
7,2667509645,1252,3
7,2705236075,1339,4
7,2758272032,1233,6
7,2811430720,1245,5
7,2848851345,1288,7
7,2886791303,1252,8
7,2924508933,1230,2
7,2961861705,1257,1
7,2998983575,1290,3
7,3037770221,1205,4
7,3107203620,1263,6
7,3141897981,1208,5
7,3178516858,1225,7
7,3278620580,1251,8
7,3394111013,1266,2
7,3432146338,1217,1
7,3466135569,1316,3
7,3504240241,1254,4
7,3548952134,1215,6
7,3575589510,1215,5
7,3614172927,1291,7
7,3652739243,1171,8
7,3686520126,1252,2
7,3724092215,1262,1
7,3741324043,1314,3
7,3774222450,1280,4
7,3821208015,593,6
7,3851146070,610,5
7,3885010427,654,7
7,4159028569,617,8
7,4198570584,601,2
7,4229532821,649,1
7,4256425234,635,3
7,4274227723,641,4
1,218099673,1165,6
1,242303514,1293,5
1,259057985,1262,7
1,275737210,1254,8
1,342469465,1250,2
1,375803511,1206,1
1,392512321,1261,3
1,409158416,1309,4
1,497189974,1232,6
1,509327650,1217,5
1,525859331,1197,7
1,542533213,1292,8
1,575772043,1238,2
1,592671636,1280,1
1,625841254,1260,3
1,659163668,1284,4
1,703101384,1286,6
1,725739577,1226,5
1,759146565,1294,7
1,792490285,1227,8
1,825839389,1271,2
1,859048156,1254,1
1,892561533,1242,3
1,925898985,1200,4
1,969544705,1225,6
1,992566553,1229,5
1,1026244408,1288,7
1,1076390595,1215,8
1,1109876303,1283,2
1,1143149209,1247,1
1,1176528727,1241,3
1,1209851184,1272,4
1,1253588139,1193,6
1,1276492939,1280,5
1,1309880108,1282,7
1,1343259039,1219,8
1,1393266231,1315,2
1,1409843904,1266,1
1,1443380785,1214,3
1,1476629727,1231,4
1,1519319517,1288,6
1,1543356648,1281,5
1,1576820184,1249,7
1,1610022322,1191,8
1,1643351499,1251,2
1,1676692589,1208,1
1,1709998781,1265,3
1,1743396624,1267,4
1,1785636511,1248,6
1,1810015687,1225,5
1,1843407698,1292,7
1,1876701992,1231,8
1,1910091448,1271,2
1,1943397018,1250,1
1,1976801716,1279,3
1,2011433895,1204,4
1,2058026287,1223,6
1,2079994948,1233,5
1,2116405878,1217,7
1,2150404235,1237,8
1,2183744812,1260,2
1,2217611493,1279,1
1,2250960514,1273,3
1,2284260851,1278,4
1,2326262514,1245,6
1,2350898418,1294,5
1,2384298030,1247,7
1,2434394135,1247,8
1,2467711864,1255,2
1,2501015266,1237,1
1,2534546691,1256,3
1,2573159270,1219,4
1,2620578991,1252,6
1,2649790663,1231,5
1,2688435107,1242,7
1,2733249695,1264,8
1,2796203057,1270,2
1,2834499873,1260,1
1,2872607803,1258,3
1,2944714615,1223,4
1,2994544827,1229,6
1,3022830026,1217,5
1,3062244561,1241,7
1,3105782513,1248,8
1,3127312953,1264,2
1,3162348685,1252,1
1,3251654713,1259,3
1,3375935171,1290,4
1,3426918123,1192,6
1,3451212459,1277,5
1,3489771365,1246,7
1,3523109130,1290,8
1,3561215439,1234,2
1,3598847226,1277,1
1,3655019348,1232,3
1,3692622497,1252,4
1,3757135912,629,6
1,3790073479,558,5
1,3824777166,630,7
1,4093780639,673,8
1,4132684061,602,2
1,4153033989,626,1
1,4174686584,639,3
1,4192441696,643,4
3,207198839,1245,6
3,217450437,1237,5
3,225802491,1287,7
3,242424971,1298,8
3,259114404,1249,2
3,334205132,1268,1
3,384361469,1211,3
3,400956186,1205,4
3,456044787,1247,6
3,467834091,1225,5
3,484345806,1240,7
3,500979565,1240,8
3,517605173,1289,2
3,534307081,1266,1
3,550997211,1207,3
3,584232408,1286,4
3,628951502,1279,6
3,650868278,1248,5
3,684120748,1251,7
3,717540861,1230,8
3,751039009,1297,2
3,784268097,1187,1
3,817605436,1264,3
3,850920634,1244,4
3,894487276,1301,6
3,917540534,1239,5
3,950910834,1197,7
3,984424577,1285,8
3,1017770793,1211,2
3,1051505904,1267,1
3,1101615311,1216,3
3,1135105615,1284,4
3,1179398710,1273,6
3,1201691424,1209,5
3,1235080988,1254,7
3,1268421877,1240,8
3,1301713653,1229,2
3,1335100850,1305,1
3,1368616347,1240,3
3,1401644446,1250,4
3,1446343737,1308,6
3,1468326695,1282,5
3,1501673611,1289,7
3,1535037009,1226,8
3,1568425969,1217,2
3,1601829453,1229,1
3,1635120214,1187,3
3,1668485344,1262,4
3,1712711319,1243,6
3,1735024763,1238,5
3,1768420524,1227,7
3,1801747844,1273,8
3,1835071880,1207,2
3,1868533639,1221,1
3,1901796728,1342,3
3,1935095247,1249,4
3,1979484913,1224,6
3,2002340098,1262,5
3,2037573991,1242,7
3,2071724249,1250,8
3,2124899385,1236,2
3,2175742924,1271,1
3,2209465040,1249,3
3,2242787370,1266,4
3,2286409080,1262,6
3,2309452040,1248,5
3,2342839682,1264,7
3,2376167242,1269,8
3,2409461637,1222,2
3,2442810094,1170,1
3,2475996322,1297,3
3,2509393428,1268,4
3,2572437436,1246,6
3,2602651096,1258,5
3,2641298030,1255,7
3,2679980269,1269,8
3,2724635694,1273,2
3,2787764128,1236,1
3,2826348404,1248,3
3,2859751735,1215,4
3,2907592420,1227,6
3,2936367294,1243,5
3,2975012744,1281,7
3,3011121497,1217,8
3,3048786745,1255,2
3,3106091168,1198,1
3,3144474500,1310,3
3,3181181450,1269,4
3,3290192323,1204,6
3,3396692494,1245,5
3,3434765836,1253,7
3,3468554837,1226,8
3,3506570805,1264,2
3,3540506942,1265,1
3,3594930972,1243,3
3,3634381077,1300,4
3,3695781293,635,6
3,3726624256,625,5
3,3776745540,653,7
3,4025579737,609,8
3,4042520337,617,2
3,4059256168,632,1
3,4076372764,610,3
3,4093243971,619,4
5,261491244,1241,6
5,281828522,1238,5
5,298560532,1214,7
5,315637956,1298,8
5,348524888,1192,2
5,415174617,1264,1
5,465136557,1279,3
5,498384494,1274,4
5,545854360,1264,6
5,565048842,1247,5
5,598450199,1166,7
5,631769217,1356,8
5,665166638,1243,2
5,698601139,1237,1
5,731915310,1290,3
5,765201176,1197,4
5,808935457,1244,6
5,831847394,1209,5
5,865200390,1234,7
5,898610357,1283,8
5,932059213,1224,2
5,965549100,1280,1
5,998935428,1326,3
5,1049274525,1200,4
5,1093398225,1237,6
5,1115937484,1222,5
5,1149296447,1270,7
5,1182646362,1204,8
5,1215952915,1325,2
5,1249337439,1270,1
5,1283198059,1243,3
5,1299430654,1229,4
5,1343040483,1291,6
5,1365958572,1233,5
5,1399338567,1220,7
5,1432766240,1262,8
5,1466002433,1277,2
5,1499446841,1161,1
5,1532739090,1265,3
5,1566042397,1291,4
5,1609965890,1271,6
5,1632723425,1226,5
5,1666088026,1283,7
5,1699458738,1235,8
5,1732723271,1278,2
5,1766120210,1276,1
5,1799398817,1223,3
5,1832762724,1208,4
5,1876506805,1216,6
5,1899441932,1210,5
5,1934217345,1211,7
5,1969432307,1259,8
5,2002681456,1322,2
5,2039174383,1267,1
5,2073071751,1267,3
5,2123707127,1248,4
5,2167491961,1301,6
5,2190320464,1254,5
5,2223825096,1233,7
5,2257142916,1185,8
5,2290387219,1263,2
5,2323886418,1218,1
5,2357152876,1277,3
5,2390350583,1269,4
5,2433928708,1268,6
5,2495745302,1232,5
5,2572390437,1260,7
5,2655952828,1251,8
5,2740548993,1263,2
5,2795402294,1270,1
5,2867241933,1217,3
5,2945511810,1239,4
5,3030246150,1261,6
5,3058649487,1255,5
5,3095249238,1254,7
5,3195348845,1302,8
5,3310865461,1261,2
5,3348899411,1166,1
5,3382916449,1215,3
5,3420919328,1286,4
5,3465412012,1240,6
5,3492384429,1213,5
5,3530772138,1214,7
5,3569536741,1322,8
5,3603294914,1275,2
5,3640938985,1244,1
5,3674259990,1303,3
5,3702971731,1189,4
5,3747718279,1231,6
5,3776332786,1291,5
5,3810221110,1285,7
5,3835600373,1265,8
5,3860984078,1236,2
5,3895684961,1212,1
5,3939713651,1217,3
5,3973471276,1263,4
5,4013990635,632,6
5,4046027395,630,5
5,4085857420,658,7
5,4127422621,600,8
5,4162753999,614,2
5,4199216407,647,1
5,4237695009,617,3
5,4255806068,602,4
8,237458567,1252,6
8,251099945,1211,5
8,259395955,1234,7
8,267743254,1294,8
8,284441434,1270,2
8,317855308,1250,1
8,367829263,1231,3
8,401130467,1258,4
8,457384847,1258,6
8,484569712,1239,5
8,517857070,1275,7
8,551261838,1287,8
8,567938567,1237,2
8,601208688,1216,1
8,634516925,1270,3
8,667849096,1218,4
8,711938893,1304,6
8,734558791,1194,5
8,767936371,1272,7
8,801312055,1290,8
8,834618489,1253,2
8,867919759,1208,1
8,901345061,1228,3
8,934642082,1251,4
8,978206239,1236,6
8,1001218209,1246,5
8,1059660657,1246,7
8,1092934966,1245,8
8,1126301898,1278,2
8,1159699488,1257,1
8,1193001591,1230,3
8,1226326578,1262,4
8,1269918606,1207,6
8,1293041655,1192,5
8,1326413254,1227,7
8,1359704980,1271,8
8,1401410700,1265,2
8,1434697527,1278,1
8,1468070551,1316,3
8,1501462871,1244,4
8,1545022893,1217,6
8,1568092385,1309,5
8,1601440457,1240,7
8,1634751965,1248,8
8,1668219761,1309,2
8,1701519700,1199,1
8,1734741019,1219,3
8,1768163586,1259,4
8,1811732828,1220,6
8,1834833505,1279,5
8,1868186602,1233,7
8,1901517619,1231,8
8,1943170411,1244,2
8,1993176551,1304,1
8,2043221264,1228,3
8,2110176296,1261,4
8,2137335587,1192,6
8,2168284474,1245,5
8,2201721331,1325,7
8,2251951222,1272,8
8,2285002495,1233,2
8,2318302008,1244,1
8,2351653099,1214,3
8,2384999683,1275,4
8,2427656040,1249,6
8,2451681433,1245,5
8,2484955746,1195,7
8,2518393546,1230,8
8,2551711108,1253,2
8,2585084546,1281,1
8,2618439540,1246,3
8,2651763372,1301,4
8,2711478492,1316,6
8,2735124657,1226,5
8,2768368848,1221,7
8,2801811305,1235,8
8,2835156219,1240,2
8,2868467551,1278,1
8,2901824032,1223,3
8,2935129469,1261,4
8,2978675103,1171,6
8,3001848490,1236,5
8,3035185099,1232,7
8,3085165467,1299,8
8,3118534054,1242,2
8,3151872046,1241,1
8,3185221765,1295,3
8,3218723395,1284,4
8,3261473944,1210,6
8,3285231426,1283,5
8,3318587814,1277,7
8,3351955004,1265,8
8,3385333211,1207,2
8,3418613116,1223,1
8,3451980486,1242,3
8,3485418587,1293,4
8,3525305234,588,6
8,3552003223,615,5
8,3585266304,633,7
8,3806438750,621,8
8,3823581835,602,2
8,3840849774,642,1
8,3849073064,661,3
8,3866165988,638,4
6,287891950,1232,6
6,306180610,1328,5
6,322949391,1210,7
6,339525079,1295,8
6,372879474,1207,2
6,406176899,1228,1
6,439488927,1245,3
6,472952401,1255,4
6,528790613,1266,6
6,556339454,1320,5
6,606379226,1185,7
6,639636926,1194,8
6,672993635,1251,2
6,706421945,1217,1
6,739616408,1287,3
6,773027028,1280,4
6,817014662,1235,6
6,839685697,1268,5
6,873000213,1260,7
6,906415513,1255,8
6,939760555,1235,2
6,973061658,1295,1
6,1006426131,1213,3
6,1048141220,1239,4
6,1109572835,1252,6
6,1131398468,1218,5
6,1164817431,1245,7
6,1198062694,1260,8
6,1231506513,1201,2
6,1264730368,1265,1
6,1298163550,1297,3
6,1331525319,1262,4
6,1375476117,1204,6
6,1406447458,1286,5
6,1439764172,1217,7
6,1473279688,1286,8
6,1506638820,1230,2
6,1539980495,1285,1
6,1573323839,1273,3
6,1606651294,1219,4
6,1650746405,1303,6
6,1673237974,1205,5
6,1706563001,1295,7
6,1739951212,1227,8
6,1773377616,1229,2
6,1806660195,1268,1
6,1840019788,1248,3
6,1873372206,1225,4
6,1917309982,1253,6
6,1939922272,1272,5
6,1998252807,1193,7
6,2031729224,1296,8
6,2081640379,1261,2
6,2115103560,1203,1
6,2156712857,1272,3
6,2190081874,1250,4
6,2233849523,1307,6
6,2257622598,1213,5
6,2273488096,1249,7
6,2306766355,1237,8
6,2340082282,1221,2
6,2373481456,1224,1
6,2406814682,1259,3
6,2440106939,1290,4
6,2482964096,1177,6
6,2506843869,1312,5
6,2540179803,1245,7
6,2573540246,1225,8
6,2606835650,1223,2
6,2640223016,1289,1
6,2673573124,1277,3
6,2706900845,1252,4
6,2749844385,1212,6
6,2773457195,1282,5
6,2806917747,1257,7
6,2840240021,1183,8
6,2873506266,1254,2
6,2906899660,1318,1
6,2940193685,1262,3
6,2973528846,1232,4
6,3016466822,1244,6
6,3040284591,1242,5
6,3073623259,1264,7
6,3123597231,1231,8
6,3156925500,1249,2
6,3190284101,1244,1
6,3223661042,1236,3
6,3257192792,1290,4
6,3299867456,1238,6
6,3323746183,1173,5
6,3357011414,1302,7
6,3390344904,1286,8
6,3407030654,1205,2
6,3440327937,1280,1
6,3473745759,1259,3
6,3507226845,1257,4
6,3546643541,600,6
6,3573675420,590,5
6,3606993599,651,7
6,3640671195,631,8
6,3674238459,590,2
6,3888236597,626,1
6,3904852463,658,3
6,3921844810,654,4
4,293986607,1247,6
4,310956752,1228,5
4,327634749,1229,7
4,377832621,1274,8
4,411090230,1219,2
4,444423125,1248,1
4,477596826,1254,3
4,510964154,1301,4
4,571291766,1256,6
4,594310666,1238,5
4,610882439,1255,7
4,644194770,1223,8
4,677712116,1299,2
4,710970559,1245,1
4,744356253,1206,3
4,777752420,1278,4
4,821845240,1225,6
4,844277273,1300,5
4,877611476,1259,7
4,911004998,1206,8
4,944384264,1211,2
4,977716531,1258,1
4,1019326655,1299,3
4,1069401556,1242,4
4,1112875510,1155,6
4,1136077807,1257,5
4,1169407074,1257,7
4,1202781447,1239,8
4,1236119465,1280,2
4,1269385483,1263,1
4,1302809136,1313,3
4,1336156303,1236,4
4,1388626857,1265,6
4,1411100937,1227,5
4,1444539886,1179,7
4,1477829919,1249,8
4,1511137142,1257,2
4,1544502141,1287,1
4,1577872203,1254,3
4,1611149287,1282,4
4,1655092085,1334,6
4,1677889050,1287,5
4,1711186381,1279,7
4,1744615555,1237,8
4,1777919578,1202,2
4,1811239122,1244,1
4,1844647057,1175,3
4,1877884639,1242,4
