workerId,opName,nanoTime,numTuples,eventType
7,Shuffle(R),1765254,-1,call
7,Scan(R),1883653,-1,call
7,Scan(R),131201993,10000,return
7,Shuffle(R),516526543,10000,return
7,Shuffle(R),516554653,-1,call
7,Scan(R),516577183,-1,call
7,Scan(R),526394939,10000,return
7,Shuffle(R),792385892,10000,return
7,Shuffle(R),792412617,-1,call
7,Scan(R),792433947,-1,call
7,Scan(R),798464696,10000,return
7,Shuffle(R),1076107555,10000,return
7,Shuffle(R),1076131865,-1,call
7,Scan(R),1076161849,-1,call
7,Scan(R),1081720386,10000,return
7,Shuffle(R),1343270797,10000,return
7,Shuffle(R),1343296009,-1,call
7,Scan(R),1343316709,-1,call
7,Scan(R),1348800104,10000,return
7,Shuffle(R),1610341279,10000,return
7,Shuffle(R),1610382103,-1,call
7,Scan(R),1610421196,-1,call
7,Scan(R),1616370627,10000,return
7,Shuffle(R),1876979507,10000,return
7,Shuffle(R),1877024194,-1,call
7,Scan(R),1877057714,-1,call
7,Scan(R),1882689007,10000,return
7,Shuffle(R),2167016981,10000,return
7,Shuffle(R),2167041581,-1,call
7,Scan(R),2167060483,-1,call
7,Scan(R),2172898882,10000,return
7,Shuffle(R),2434201750,10000,return
7,Shuffle(R),2434224437,-1,call
7,Scan(R),2434242394,-1,call
7,Scan(R),2440032457,10000,return
7,Shuffle(R),2749936549,10000,return
7,Shuffle(R),2749956922,-1,call
7,Scan(R),2749972531,-1,call
7,Scan(R),2756168696,10000,return
7,Shuffle(R),3078717457,10000,return
7,Shuffle(R),3078739256,-1,call
7,Scan(R),3078766049,-1,call
7,Scan(R),3084430392,10000,return
7,Shuffle(R),3541411846,10000,return
7,Shuffle(R),3541452010,-1,call
7,Scan(R),3541474528,-1,call
7,Scan(R),3547537096,10000,return
7,Shuffle(R),3815387068,10000,return
7,Shuffle(R),3815426038,-1,call
7,Scan(R),3815447963,-1,call
7,Scan(R),3819991127,5000,return
7,Shuffle(R),4294647979,5000,return
7,Shuffle(R),4294668191,-1,call
7,Scan(R),4294690317,-1,call
7,Scan(R),4294700422,-1,return
7,Shuffle(R),4295690920,-1,return
3,Shuffle(R),1787577,-1,call
3,Scan(R),1897291,-1,call
3,Scan(R),98352708,10000,return
3,Shuffle(R),444393324,10000,return
3,Shuffle(R),444444028,-1,call
3,Scan(R),444485761,-1,call
3,Scan(R),452525355,10000,return
3,Shuffle(R),620056928,10000,return
3,Shuffle(R),620107248,-1,call
3,Scan(R),620145762,-1,call
3,Scan(R),626661325,10000,return
3,Shuffle(R),886581672,10000,return
3,Shuffle(R),886610235,-1,call
3,Scan(R),886633146,-1,call
3,Scan(R),892350232,10000,return
3,Shuffle(R),1170939309,10000,return
3,Shuffle(R),1170969168,-1,call
3,Scan(R),1170992251,-1,call
3,Scan(R),1177186168,10000,return
3,Shuffle(R),1438135709,10000,return
3,Shuffle(R),1438173488,-1,call
