workerId,opName,nanoTime,numTuples,eventType
5,GatherR,708936904,-1,return
5,GatherS,708964243,-1,call
5,GatherS,709011029,285,return
5,GatherR,709295440,-1,call
5,GatherR,709319710,-1,return
5,GatherS,709344246,-1,call
5,GatherS,709365471,-1,return
5,Join,709388621,-1,return
5,SendResult,709409140,-1,return
5,SendResult,709433856,-1,call
5,Join,709453984,-1,call
5,GatherR,709475318,-1,call
5,GatherR,709496500,-1,return
5,GatherS,709531671,-1,call
5,GatherS,709552477,-1,return
5,Join,709578273,-1,return
5,SendResult,709597725,-1,return
5,SendResult,717022630,-1,call
5,Join,717058792,-1,call
5,GatherR,717080424,-1,call
5,GatherR,717114031,-1,return
5,GatherS,717139663,-1,call
5,GatherS,717174319,277,return
5,GatherR,717471119,-1,call
5,GatherR,717498759,-1,return
5,GatherS,717522855,-1,call
5,GatherS,717543537,-1,return
5,Join,717565870,-1,return
5,SendResult,717585362,-1,return
5,SendResult,718033679,-1,call
5,Join,718058099,-1,call
5,GatherR,718079643,-1,call
5,GatherR,718100692,-1,return
5,GatherS,718124757,-1,call
5,GatherS,718157938,260,return
5,GatherR,718316402,-1,call
5,GatherR,718338754,-1,return
5,GatherS,718362123,-1,call
5,GatherS,718382154,-1,return
5,Join,718404290,-1,return
5,SendResult,718423656,-1,return
5,SendResult,726032347,-1,call
5,Join,726056947,-1,call
5,GatherR,726078631,-1,call
5,GatherR,726099855,-1,return
5,GatherS,726124295,-1,call
5,GatherS,726159080,288,return
5,GatherR,726335096,-1,call
5,GatherR,726357498,-1,return
5,GatherS,726380761,-1,call
5,GatherS,726401077,-1,return
5,Join,726423283,-1,return
5,SendResult,726442893,-1,return
5,SendResult,733023324,-1,call
5,Join,733050017,-1,call
5,GatherR,733073479,-1,call
5,GatherR,733110736,-1,return
5,GatherS,733137684,-1,call
5,GatherS,733174343,280,return
5,GatherR,733443597,-1,call
5,GatherR,733468291,-1,return
5,GatherS,733493070,-1,call
5,GatherS,733514107,-1,return
5,Join,733540630,-1,return
5,SendResult,733561138,-1,return
5,SendResult,758037149,-1,call
5,Join,758062685,-1,call
5,GatherR,758085596,-1,call
5,GatherR,758107219,-1,return
5,GatherS,758132311,-1,call
5,GatherS,758167719,287,return
5,GatherR,758387259,-1,call
5,GatherR,758409865,-1,return
5,GatherS,758433183,-1,call
5,GatherS,758453306,-1,return
5,Join,758475487,-1,return
5,SendResult,758494929,-1,return
5,SendResult,782024823,-1,call
5,Join,782057775,-1,call
5,GatherR,782086648,-1,call
5,GatherR,782109536,-1,return
5,GatherS,782135682,-1,call
