time,value
743956333,[]
747024626,[3]
747976557,[]
748031886,[1]
748829753,[]
753021627,[7]
753028784,"[7, 8]"
753815866,[8]
754837122,[]
755029737,[4]
755030099,"[1, 4]"
755783655,[4]
756565121,[]
757022372,[3]
757896292,[]
758037149,[5]
758494929,[]
760023273,[7]
760839612,[]
762027699,[2]
763767797,[]
764025394,[3]
764809631,[]
765027847,[6]
766037199,"[1, 6]"
766864725,[1]
768021492,"[1, 7]"
768424677,[7]
768598190,[]
772033931,[3]
772534471,[]
782024823,[5]
782530690,[]
787033168,[1]
787898252,[]
791022914,[1]
791025801,"[1, 7]"
792039748,[1]
793021526,"[1, 7]"
793494399,[1]
793727717,[]
795030709,[8]
796021834,"[1, 8]"
796024688,"[1, 3, 8]"
796171339,"[1, 3]"
797911446,[1]
797957776,"[1, 3]"
798039168,"[1, 3, 4]"
798275260,"[1, 4]"
798465749,[4]
798929440,[]
799021705,[1]
799036443,"[1, 5]"
800027923,"[1, 5, 7]"
800610125,"[1, 5]"
801472357,[1]
801498576,"[1, 5]"
801528085,[5]
801674380,[]
802024440,[7]
802628637,[]
803039519,[3]
803980660,[]
805024248,[8]
805033621,"[2, 8]"
805896179,[8]
806025360,"[3, 8]"
806029548,"[3, 6, 8]"
806135155,"[3, 6]"
806497249,[6]
806960324,[]
808022761,[4]
808022878,"[1, 4]"
808840330,[1]
810024516,"[1, 7]"
810478405,[1]
812026582,"[1, 8]"
813024268,"[1, 4, 8]"
813028479,"[1, 2, 4, 8]"
813172928,"[1, 2, 4]"
813622931,"[2, 4]"
813648504,"[1, 2, 4]"
813801457,"[2, 4]"
814008659,[4]
814021063,"[3, 4]"
814280419,[3]
814465114,[]
816030239,[6]
817023178,"[6, 7]"
817160774,[7]
817624187,[]
819028084,[8]
819685534,[]
820022418,[3]
820572905,[]
822053234,[2]
823034360,"[2, 4]"
823128067,[4]
823684765,[]
824033113,[6]
825522068,[]
829024005,[2]
829686554,[]
832033570,[6]
832678088,[]
835026846,[5]
836140554,[]
837030213,[1]
839717317,[]
841024016,[7]
841577594,[]
844028169,[8]
845493357,[]
845518657,[8]
845716819,[]
846024507,[3]
846036426,"[3, 4]"
846509999,[4]
847089157,[]
848033462,[4]
848507771,[]
852033315,[8]
852566233,[]
853028400,[2]
854023831,"[2, 8]"
854024594,"[2, 4, 8]"
854334424,"[4, 8]"
854360956,"[2, 4, 8]"
854523205,"[4, 8]"
854575099,[8]
854655113,[]
856023092,[4]
856037660,"[4, 6]"
856637862,[6]
857599805,[]
857625895,[6]
857789184,[]
862025271,[2]
862026354,"[2, 8]"
862034619,"[1, 2, 8]"
862599706,"[1, 2]"
862906508,[1]
862932796,"[1, 2]"
863037505,"[1, 2, 4]"
863110205,"[1, 4]"
863801668,[1]
864023559,"[1, 6]"
864779855,[1]
864804865,[]
866024107,[7]
866036852,"[6, 7]"
866514302,[6]
866873041,[]
869035592,[8]
869545089,[]
871022795,[3]
871025344,"[2, 3]"
871026231,"[2, 3, 4]"
871507893,"[2, 4]"
871526810,[4]
871608483,[]
874031523,[6]
874570646,[]
878023943,[2]
878044720,"[1, 2]"
878527793,[1]
880225201,[]
881023768,[6]
881493931,[]
883024044,[7]
884028804,"[5, 7]"
885025902,[5]
885097397,[]
887045069,[3]
889212138,[]
889250301,[3]
889423111,[]
894035053,[8]
894580414,[]
896023182,[4]
896590015,[]
903039663,[2]
903616688,[]
906034231,[6]
906773915,[]
913029464,[1]
914040056,[]
918037813,[7]
919022828,"[7, 8]"
919210600,[8]
919542389,[]
921028098,[4]
921516780,[]
922023924,[3]
922906665,[]
928035912,[2]
928531642,[]
931047625,[6]
931748133,[]
936023505,[8]
937928002,[]
938032304,[4]
939849198,[]
939873257,[4]
940030101,[]
945026262,[2]
946990356,[]
948035133,[6]
950183462,[]
950208295,[6]
950359799,[]
952022040,[5]
952947714,[]
960023180,[5]
961025342,"[1, 5]"
961068341,[1]
962243934,[]
967045147,[7]
968021305,"[5, 7]"
968239623,[5]
969022601,"[5, 8]"
970295382,[5]
970331863,[]
971023756,[3]
972029620,"[3, 4]"
972038441,[4]
972881335,[]
977023043,[5]
977677560,[]
979025715,[2]
983026908,"[2, 6]"
984267276,[2]
992022908,"[2, 5]"
992925677,[2]
1001022241,"[2, 5]"
1010510547,[5]
1010537405,"[2, 5]"
1010701806,[5]
1019034971,"[5, 8]"
1022023852,"[4, 5, 8]"
1029043312,"[2, 4, 5, 8]"
1030024860,"[1, 2, 4, 5, 8]"
1030220995,"[1, 4, 5, 8]"
1032028710,"[1, 4, 5, 6, 8]"
1032648913,"[1, 4, 6, 8]"
1032675463,"[1, 4, 5, 6, 8]"
1035026523,"[1, 4, 5, 6, 7, 8]"
1035204336,"[1, 4, 6, 7, 8]"
1035229521,"[1, 4, 5, 6, 7, 8]"
1035376793,"[1, 4, 6, 7, 8]"
1039023926,"[1, 3, 4, 6, 7, 8]"
1042022506,"[1, 3, 4, 5, 6, 7, 8]"
1042787021,"[1, 3, 4, 6, 7, 8]"
1043128390,"[1, 3, 4, 6, 7]"
1043152739,"[1, 3, 4, 6, 7, 8]"
1043314455,"[1, 3, 4, 6, 7]"
1053130648,"[1, 3, 6, 7]"
1053156562,"[1, 3, 4, 6, 7]"
1053348449,"[1, 3, 6, 7]"
1057225141,"[1, 3, 6]"
1057264954,"[1, 3, 6, 7]"
1059360076,"[3, 6, 7]"
1059390322,"[1, 3, 6, 7]"
1061048398,"[1, 3, 6]"
1061074806,"[1, 3, 6, 7]"
1061266577,"[1, 3, 6]"
1064936901,"[3, 6]"
1064961572,"[1, 3, 6]"
1065122718,"[3, 6]"
1065417012,[3]
1065443034,"[3, 6]"
1065604528,[3]
1066022746,"[3, 5]"
1066997001,[3]
1068368110,[]
1068395872,[3]
1070027472,"[1, 3]"
1071004695,[3]
1071855842,[]
1071881066,[3]
1072024751,[]
1074029195,[7]
1075172051,[]
1080032357,[1]
1080050360,"[1, 3]"
1081082270,[1]
1082456039,[]
1083023658,[5]
1083024186,"[1, 5]"
1084024984,"[1, 5, 7]"
1084507201,"[1, 5]"
1085028176,"[1, 5, 7]"
1085482534,"[1, 5]"
1085678019,[1]
1085703722,"[1, 5]"
1085858168,[1]
1085948453,[]
1087024628,[8]
1087025849,"[3, 8]"
1087542195,[8]
1088098428,[]
1089033050,[3]
1089992918,[]
1090034925,[4]
1090035708,"[1, 4]"
1090921846,[1]
1092453106,[]
1093027437,[7]
1093691002,[]
1094035032,[1]
1096030717,"[1, 8]"
1096939207,[8]
1097026295,"[2, 8]"
1097033460,"[2, 3, 8]"
1097490719,"[2, 8]"
1098022723,"[2, 4, 8]"
1098039850,"[2, 4, 6, 8]"
1098293061,"[4, 6, 8]"
1098363191,"[4, 6]"
1099023148,"[1, 4, 6]"
1099758200,"[1, 4]"
1100024479,"[1, 4, 7]"
1100270914,"[1, 7]"
1100563707,[1]
1101032990,"[1, 7]"
1101516457,[1]
1101628137,[]
1104022479,[8]
1104027768,"[2, 8]"
1104877434,[2]
1105024198,"[2, 4]"
1105025111,"[2, 3, 4]"
1105276766,"[3, 4]"
1105578760,[4]
1106021006,"[3, 4]"
1106127993,[3]
1106540477,[]
1108028356,[6]
1109264145,[]
1111023854,[8]
1111477329,[]
1113024448,[2]
1114038977,"[2, 4]"
1114460329,[2]
1115402744,[]
1116023199,[6]
1118592299,[]
1121034625,[1]
1121041080,"[1, 2]"
1121785894,[1]
1123568846,[]
1124021127,[6]
1124029126,"[6, 7]"
1124535599,[7]
1124580668,[]
1127021833,[5]
1128023331,"[5, 8]"
1128240891,[8]
1129033269,[]
1130024004,[4]
1130027750,"[3, 4]"
1130552391,[4]
1131058857,[]
1136035511,[8]
1136466689,[]
1136491214,[8]
1136888390,[]
1137021043,[2]
1138024698,"[2, 4]"
1138396230,[4]
1138491438,[]
1139034330,[4]
1139593023,[]
1140020671,[6]
1140957709,[]
1145026604,[8]
1145556262,[]
1146020310,[2]
1146025792,"[1, 2]"
