time,numWorkers
738857,1
1024795,2
1765254,3
1787577,4
2058100,5
2135090,6
2148222,7
2173995,8
444393324,7
444444028,8
444690174,7
444741482,8
481852252,7
481893578,8
516526543,7
516554653,8
519036718,7
519076135,8
534249224,7
534276999,8
538734222,7
538775682,8
556741429,7
556785708,8
620056928,7
620107248,8
694841599,7
694870569,8
703627690,7
703675589,8
792385892,7
792412617,8
801039231,7
801069041,8
808581747,7
808607210,8
813202700,7
813264073,8
814306641,7
814333544,8
886581672,7
886610235,8
961728318,7
961755621,8
970046687,7
970411860,8
1076107555,7
1076131865,8
1085007678,7
1085033837,8
1100731287,7
1100756969,8
1104377683,7
1104404597,8
1104835420,7
1104897362,8
1170939309,7
1170969168,8
1245424752,7
1245452429,8
1262126233,7
1262150325,8
1335036755,7
1335066052,8
1343270797,7
1343296009,8
1367113936,7
1367138604,8
1371238552,7
1371266086,8
1380170566,7
1380201551,8
1438135709,7
1438173488,8
1512209491,7
1512249497,8
1537052593,7
1537140471,8
1601908309,7
1601941219,8
1610341279,7
1610382103,8
1642137749,7
1642163009,8
1646129112,7
1646156443,8
1646720230,7
1646752286,8
1704841042,7
1704883141,8
1778836626,7
1778862428,8
1803808150,7
1803836707,8
1868551699,7
1868666975,8
1876979507,7
1877024194,8
1908981653,7
1909007793,8
1912860892,7
1912902376,8
1913596415,7
1913666899,8
1971348678,7
1971398554,8
2048699315,7
2048720095,8
2129082884,7
2129106659,8
2159551582,7
2159574262,8
2167016981,7
2167041581,8
2225514158,7
2225535550,8
2238618973,7
2238663259,8
2240116674,7
2240183431,8
2278432917,7
2278454234,8
2319563797,7
2319584997,8
2420437071,7
2420458811,8
2426204400,7
2426229900,8
2434201750,7
2434224437,8
2475561617,7
2475585307,8
2513058244,7
2513083196,8
2530269860,7
2530324248,8
2564837811,7
2564875687,8
2613309112,7
2613330224,8
2704017311,7
2704039877,8
2742276424,7
2742298370,8
2749936549,7
2749956922,8
2779963247,7
2780038217,8
2780277061,7
2780358265,8
2900280359,7
2900301393,8
2970908182,7
2971004222,8
2986854267,7
2986885588,8
3009096572,7
3009116277,8
3022380815,7
3022408710,8
3062895753,7
3062932368,8
3063616288,7
3063689357,8
3078717457,7
3078739256,8
3254117817,7
3254138123,8
3283401008,7
3283443219,8
3292583157,7
3292603390,8
3313737747,7
3313768759,8
3330568076,7
3330590186,8
3419840920,7
3419857917,8
3457975739,7
3458015269,8
3520935075,7
3520969322,8
3541411846,7
3541452010,8
3542487233,7
3542507188,8
3546683693,7
3546742346,8
3597166598,7
3597185129,8
3691426579,7
3691448360,8
3728416907,7
3728431040,8
3740111111,7
3740160455,8
3815387068,7
3815426038,8
3885121006,7
3885139743,8
3886114690,7
3940245782,6
3940264530,7
3941200291,6
3961157254,5
3961219225,6
3962365697,5
3978330676,4
3978400132,5
3979334788,4
4009397197,3
4009417361,4
4116369944,3
4116385895,4
4117373697,3
4225118235,2
4225133158,3
4225995305,2
4294647979,1
4294668191,2
4295690920,1
4295885728,0
4295906279,1
4298383040,0
