workerId,opName,nanoTime,numTuples,eventType
5,Shuffle(S),2075478,-1,call
5,Scan(S),2170743,-1,call
5,Scan(S),123643478,10000,return
5,Shuffle(S),292907148,10000,return
5,Shuffle(S),292936508,-1,call
5,Scan(S),292958582,-1,call
5,Scan(S),301112964,10000,return
5,Shuffle(S),525585408,10000,return
5,Shuffle(S),525614825,-1,call
5,Scan(S),525637401,-1,call
5,Scan(S),532397721,10000,return
5,Shuffle(S),784290946,10000,return
5,Shuffle(S),784329503,-1,call
5,Scan(S),784351152,-1,call
5,Scan(S),790434881,10000,return
5,Shuffle(S),1068338684,10000,return
5,Shuffle(S),1068364277,-1,call
5,Scan(S),1068399474,-1,call
5,Scan(S),1074323609,10000,return
5,Shuffle(S),1351916736,10000,return
5,Shuffle(S),1351944804,-1,call
5,Scan(S),1351966364,-1,call
5,Scan(S),1358438523,10000,return
5,Shuffle(S),1618533123,10000,return
5,Shuffle(S),1618583415,-1,call
5,Scan(S),1618606418,-1,call
5,Scan(S),1624861376,10000,return
5,Shuffle(S),1885404942,10000,return
5,Shuffle(S),1885446343,-1,call
5,Scan(S),1885469307,-1,call
5,Scan(S),1891616955,10000,return
5,Shuffle(S),2176165042,10000,return
5,Shuffle(S),2176198173,-1,call
5,Scan(S),2176215303,-1,call
5,Scan(S),2182030726,10000,return
5,Shuffle(S),2459639113,10000,return
5,Shuffle(S),2459678030,-1,call
5,Scan(S),2459705074,-1,call
5,Scan(S),2472814158,10000,return
5,Shuffle(S),3039541427,10000,return
5,Shuffle(S),3039580070,-1,call
5,Scan(S),3039611699,-1,call
5,Scan(S),3046303106,10000,return
5,Shuffle(S),3761501713,10000,return
5,Shuffle(S),3761526375,-1,call
5,Scan(S),3761543990,-1,call
5,Scan(S),3767073049,10000,return
5,Shuffle(S),4457087272,10000,return
5,Shuffle(S),4457115229,-1,call
5,Scan(S),4457131479,-1,call
5,Scan(S),4461283750,5000,return
5,Shuffle(S),4809547581,5000,return
5,Shuffle(S),4809577941,-1,call
5,Scan(S),4809604618,-1,call
5,Scan(S),4809630695,-1,return
5,Shuffle(S),4810809415,-1,return
3,Shuffle(S),2235912,-1,call
3,Scan(S),2342800,-1,call
